MONUMENT_RECORD_NO,KNOWN_AS,EASTING,NORTHING,MONUMENT_TYPE,PERIOD,PERIOD_TEXT,CONSTRUCTION,DEMOLITION,STOREYS,BAYS,ROOF,EXTANT,CONDITION,CLASS,BROAD_TERM,NARROW_TERM,POSTAL_ADDRESS,LISTED_BUILDING_GRADE,LISTED_BUILDING_NO,AMENDED,MONUMENT_DESC,Location 1
2139M,Road bridge under the railway,360234,172689,Railway bridge,PM2,Post-medieval 1700-1900,,,,, ,0,,Transport,Railway transport site,Railway bridge,Kingsland Road,,,38625,A road bridge running under the railway at Kingland Road.,"(51.451779, -2.5736639)"
2140M,Electric transformer station,360100,172860,Electricity sub station,Mod,Modern 1900-,,,,, ,0,,Industrial,Electricity production site,Electricity sub station,Kingsland Road,,,38625,"A tall single-storey brick building at the northern end of the inter-war development of council houses, may have been a local transformer station. (1)","(51.453307, -2.5756115)"
2141M,Kingsland Road Bridge,360063,172896,Road bridge,PM2,Post-medieval 1700-1900,,,,, ,0,,Transport,Bridge,Road bridge,Kingsland Road,,,38625,A 19th-century road bridge with Pennant Sandstone parapets. (1) Bridge maintained as highway.,"(51.453628, -2.576148)"
2142M,"Quarry at Quarry Lane, Lawrence Weston",355063,178432,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Quarry Lane,,,38625,Quarry located on the south side of the junction of Lawrence Weston Road and Quarry Lane. The quarry was recorded by the Ordnance Survey first edition plan published in 1881 (Gloucestershire Sheet LXXI.03).,"(51.503026, -2.6488075)"
2143M,"Wesleyan Methodist Chapel, Chapel Lane, Lawrence Weston",354986,178618,Chapel,Mod,Modern 1900-,,,,, ,0,,"Religious, Ritual and Funerary",Place of worship,Chapel,Orlebar Gardens,,,38625,"Weslyan Methodist Chapel, located on the northern side of Chapel Lane, Lawrence Weston. The chapel appears to have been built in the late nineteenth- or early twentieth-century and is first recorded by the Ordnance Survey second edition 1:2500 plan published in 1903 (Gloucestershire Sheet LXXI.03). The site has been redeveloped for housing and the footprint of the chapel now lies partly beneath Nos.81-93 Orlebar Gardens.","(51.504692, -2.6499406)"
2144M,Marquis of Worcester off-licence,363290,172830,Shop,PM2,Post-medieval 1700-1900,,,,, ,0,,Commercial,Shop,Shop,Niblett Hill,,,38625,"A complex building, an off-licence in 1991. The core of the building is possibly C18. It consists of a twin-gabled wing, with a long wing at rightangles. Rubble and brick, rendered, with rendered brick stacks and pantile roofs. All windows and doors 19th-century or 20th-century. Garden surrounded by coursed Pennant Sandstone wall (1) (2). Probably a 18th-century core to the buildings.","(51.453253, -2.5297017)"
2145M,"Rhubarb Tavern, Queen Ann Road",360716,172735,Public house,PM2,Post-medieval 1700-1900,,,,, ,1,,Commercial,Licensed premises,Public house,Queen Ann Road,,,39006,"A freestanding 19th-century public house with Victorian detail, and a fireplace reputedly from the demolished Tillys Court (Dr Day's Mansion) nearby {1}. While the facade and most of the section fronting the street are certainly 19th-century the core of the building is almost certainly of 18th-century date. {2} A building in this position is marked on Ashmead's map of 1828. {3}","(51.452226, -2.5667329)"
2467M,"Christ Church, Rockleaze Avenue",356360,175120,Congregational chapel,PM2,Post-medieval 1700-1900,,1961,,, ,0,,"Religious, Ritual and Funerary",Nonconformist chapel,Congregational chapel,Rockleaze Avenue,,,38625,"Christ Church congregational chapel, located at the junction of modern Julian Road and Rockleaze Avenue. The building was constructed in 1877 to a design in an eclectic but predominantly Early English Gothic style by the architect Stuart Colman. The Ordnance Survey first edition plan, Sheet LXXI.11.15 surveyed in 1880 recorded that the building had seating for 300 worshippers.
The building was demolished in 1961 and the site redeveloped for housing.","(51.473349, -2.6297121)"
2941M,"Bishop's Palace, Park Place, Clifton",357713,173178,Bishops palace,PM2,Post-medieval 1700-1900,,,,, ,1,,Domestic,Palace,Bishops palace,Park Place,,,38625,"Bishop's Palace, located at the south-western end of the Pro-Cathedral in Park Place. The palace was designed by Charles Francis Hansom in c1876 and was constructed of Pennant sandstone rubble with limestone ashlar dressings.
The building is currently derelict.","(51.455992, -2.6100001)"
2942M,Parish boundary marker stone at Nos.183-185 Whiteladies Road,357448,174655,Parish boundary,PM2,Post-medieval 1700-1900,,,,, ,1,,Civil,Parish boundary,Parish boundary,Whiteladies Road,,,38625,"A parish boundary marker stone fixed to the party wall of Nos.183-185 Whiteladies Road, Clifton. The marker is of freestone, and measures approximately 15 centimetres square and bears the legend ""W P / 1848"". The marker stone is approximately 1.2 metres above the ground.","(51.469252, -2.6139921)"
2944M,"Victoria Chapel, Queen's Road, Clifton",357832,173446,Methodist chapel,PM2,Post-medieval 1700-1900,,,,, ,1,,"Religious, Ritual and Funerary",Methodist chapel,Wesleyan methodist chapel,Queens Road,,,38625,"Victoria Chapel, located on the western side of Queen's Road. The building was a Wesleyan Methodist chapel constructed in 1863 to a design in a French Gothic Revival Style by the architectural practice Foster and Wood. The Ordnance Survey first edition 1:500 plan (Bristol Sheet LXXI.16.13) records that the chapel cuold accommodate 700 worshippers.
The building has a Grade II listing (Listed Building number 901-1/9/1135).","(51.45841, -2.6083196)"
5294M,Footbridge by Ashley Hill,359771,175127,Footbridge,PM2,Post-medieval 1700-1900,,,,, ,0,,Transport,Bridge,Footbridge, ,,,,,"(51.473666, -2.5806048)"
2169M,Green Splott Cottages,352897,181749,House,PM2,Post-medieval 1700-1900,,,,, ,0,,Domestic,Dwelling,House, ,,,38625,"Green Splott Cottages, located at Chittening Warth. The buildings appear to have been in existence by 1830 and the 1915 Ordnance Survey 1:2500 plan (Gloucestershire sheet LXVII.10), indicates that there were by that date at least two dwellings, with a further building in an orchard to the south-east. The cottages were apparently demolished to enable the construction of National Filling Factory No.23 (SMR 21403) in 1917.","(51.532671, -2.6804556)"
2416M,"Hemplow House, Brislington",361623,170706,House,PM1,Post-medieval 1540-1700,,,,, ,0,,Domestic,Dwelling,House,Beeches Grove,,,38625,"Hemplow House. The site was purchased in c1680 by Sir John Hawkins from Arthur Sanders and a house was built on the site. Around 1800, Joan Hawkins, widow of John Hawkins, is recorded as selling Hemplow House to a Mr. Prescott upon her purchase of Gotley Lodge. It was subsequently sold to Edward Rollo Clayfield who had also purchased the adjoining estate of Gotley Lodge. In 1828, Edward Ireland Clayfield was recorded as the owner of both Hemplow House and Gotley Lodge. The Brislington Tithe Award of 1846 records Edward Ireland Clayfield as the owner with Daniel Tripp as the tenant. Upon the death of Clayfield's widow in 1865, the property passed to Thomas Priaulx Clayfield Ireland who sold it to Charles Gardiner, a wealthy Bristol clothier. In 1899, the property was sold to James Wise and remained in the Wise family until 1936 when it was purchased by Bristol Corporation. In 1939, the house was requisitioned as a base for the civil defence of Brislington. After the war the house was used as an ambulance and fire station. It was demolished in the late 1960s.
The site of the house and gardens is now occupied by the houses of Hawburn Close and Beeches Grove.","(51.434045, -2.5534601)"
2476M,Parish boundary marker stone at No.94 Cotham Brow,358709,174250,Parish boundary,PM2,Post-medieval 1700-1900,,,,, ,1,,Civil,Parish boundary,Parish boundary,Cotham Brow,,,38625,"On 4th March 2001 Jonathan Brett of the Department of Environment, Transport and Leisure, Bristol City Council observed a parish boundary marker stone set in the footway immediately in front of the boundary wall of No.1 Cotham Side. The stone was of Pennant sandstone and stood to a height of approximately 25 centimetres. Any carved inscription on the stone would appear to have been lost.","(51.465704, -2.5957917)"
2477M,Quarry at Knole Lane,358221,179205,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Knole Lane,,,38625,A quarry at the junction of Charlton Road and Knole Lane. The quarry is recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet LXXI.04) published in 1881. In the twentieth century Nos.192-194 Knole Lane were constructed on the site of the quarry.,"(51.510218, -2.6034043)"
2478M,Quarry at Charlton Road,358300,179164,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Charlton Road,,,38625,"A quarry on the south side of Charlton Road, close to the junction with Knole Lane. The quarry is recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet LXXI.04) published in 1881. The site of the quarry is now part of a larger area of open ground.","(51.509856, -2.6022611)"
2479M,Quarry at Standon Way,358102,178960,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Standon Way,,,38625,"A quarry on the south side of Charlton Road, close to the junction with Knole Lane. The quarry is recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet LXXI.04) published in 1881. The site of the quarry is now largely beneath Nos.8-12 Standon Avenue.","(51.508007, -2.6050897)"
2480M,Quarry at Brentry Hill,357380,178528,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Brentry Hill,,,38625,"A quarry on the west side of Brentry Hill, to the north of the junction with Charlton Road. The quarry is recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet LXXI.04) published in 1881 and may have been in existence at the time of the Westbury-on-Trym tithe survey of 1841 since the apportionment records that the land parcel within which the quarry lay (Parcel 837a) was ""Quarries and land adjoining"" belonging to the Commissioners of Bristol Turnpike Roads.","(51.504069, -2.6154398)"
2481M,Quarry at Brentry Hill,357368,178473,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Brentry Hill,,,38625,"A quarry on the west side of Brentry Hill, to the north of the junction with Charlton Road. The quarry is recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet LXXI.04) published in 1881 and may have been in existence at the time of the Westbury-on-Trym tithe survey of 1841 since the apportionment records that the land parcel within which the quarry lay (Parcel 837a) was ""Quarries and land adjoining"" belonging to the Commissioners of Bristol Turnpike Roads.","(51.503573, -2.615606)"
2482M,Quarry at Brentry Hill,357348,178388,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Brentry Hill,,,38625,"A quarry on the west side of Brentry Hill, to the north of the junction with Charlton Road. The quarry is recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet LXXI.04) published in 1881 and may have been in existence at the time of the Westbury-on-Trym tithe survey of 1841 since the apportionment records that the land parcel within which the quarry lay (837a) was ""Quarries and land adjoining"" belonging to the Commissioners of Bristol Turnpike Roads.","(51.502807, -2.6158839)"
2483M,Quarry at Shetland Road,358696,178215,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Shetland Road,,,38625,"A quarry on the west side of Shetland Road, Southmead. The quarry is recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet LXXI.04) published in 1881. The site of the quarry is now beneath Nos.33-35 Shetland Road.","(51.501352, -2.5964439)"
2608M,Quarry on the north side of Troopers Hill Road,362929,172880,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Troopers Hill Road,,,38625,"Quarry located on the north side of Troopers Hill Road. The quarry is recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet LXXII.14) surveyed in 1880-81 where it is named ""Old Quarry"", suggesting that it was by then out of use. At that date the quarry measured approximately 30 metres from east to west.","(51.453679, -2.534902)"
2377M,"Rookery Farm or Manor Farm, West Town Lane, Brislington",361471,169815,Farm,Med,Medieval 1200-1540,,,,, ,0,,Agriculture and subsistence,Land-use site,Farm,Rookery Way,,,39150,"Rookery Farm, Brislington. The farm lay on the east side of West Town Lane and appears to have comprised a main farmhouse with outbuildings to the north. The date of origin of the farm is not currently known but it was recorded (as Parcel 685) by the Brislington tithe survey of 1846 (BRO EP/A/32/9). The owner of the site was John Hurle, linen merchant, of Clifton and on 16 November 1850 (BRO 37870(5)) Hurle leased the farm to Thomas Kelson Bush, yeoman, of Queen Charlton for £400 per annum. The farm was renamed Manor Farm at the end of the nineteenth century and was first recorded under its new name by the second edition Ordnance Survey County Series plan published in 1904. The farm was demolished in c.1933 and a number of sports pitches had been set out across the site by 1947 (Clark & Thomas 2007).","(51.426024, -2.5555494)"
2378M,"Court Farm, Whitchurch",360154,167667,Farm,PM1,Post-medieval 1540-1700,,,,, ,0,,Agriculture and subsistence,Land use site,Farm,Woodmarsh Close,,,38625,"Court Farm. The farm lay to the south of the Whitchurch Lane and comprised a farmhouse with outbuildings to the east and north. There were orchards to the south. The farmhouse appears to have been constructed in the seventeenth century and was a gabled stone rubble building of two storeys (Winstone 1977, pl.202).
The site of the farmhouse appears to lie beneath the gardens of dwellings on the south side of Woodmarsh Close while the outbuildings to the east are beneath the grassed open space.","(51.406619, -2.5742485)"
2379M,Hill Farm,359453,167304,Farm,PM2,Post-medieval 1700-1900,,,,, ,0,,Agriculture and subsistence,Land use site,Farm,Lampton Avenue,,,38625,"Hill Farm. The farm lies to the east of the end of Lampton Avenue, Hartcliffe. It is still in existence and comprises a farmhouse and outbuildings, many of which have been erected since the late 1930s.","(51.403306, -2.5842845)"
2380M,Bridge Farm,360391,167481,Farm,PM2,Post-medieval 1700-1900,,,,, ,0,,Agriculture and subsistence,Land use site,Farm,Halfacre Close,,,38885,"Bridge Farm, located on the east side of East Dundry Road. The farmhouse is a two-storey stone rubble building with a double pile plan and a pitched pantile roof.","(51.404964, -2.5708206)"
2381M,"Eastville Park Methodist Church, Fishponds Road",361476,175114,Methodist chapel,PM2,Post-medieval 1700-1900,,,,, ,0,,"Religious, Ritual and Funerary",Nonconformist chapel,Methodist chapel,Fishponds Road,,,38790,"Eastville Park Methodist Church, Fishponds Road.","(51.473668, -2.5560562)"
2850M,"Meerstone at Westbury Road, Durdham Down",357283,176054,Boundary Marker,PM2,Post-medieval 1700-1900,,,,, ,1,,Monument,Boundary,Boundary Marker,Westbury Road,,,38625,"Meerstone on the east side of Westbury Road, Henleaze. The stone stands approximately one metre high and is inscribed. The upper part of the surface of the stone has delaminated, removing part of the inscription but the word ""parish"" is legible. The stone also carries an Ordnance Survey benchmark.","(51.481818, -2.616537)"
2851M,"Little Horfylde or Hethe House, Purdown",360667,175818,House,Med,Medieval 1200-1540,,,,, ,0,,Domestic,Dwelling,House,Sir John's Lane,,,38625,"Little Horfylde or Hethe House, located on the north-eastern side of Sir John's Lane, Purdown. The building was the manor house for the Little Horfylde or Heath House estate and was in existence by 1425 (Upton Way 1912, 19-22). The estate belonged to the Hospital of St. Bartholomew in Bristol and was leased out by the hospital. The house was sited some 22 metres to the north-east of Sir John's Lane and measured some 35 metres from north-west to south-east and was 8 metres wide. The form of the building is currently unknown.
The building survived into the later eighteenth century and its location was recorded by an estate plan of 1767 (BRO AC/PL 88). A new house, the present Heath House (SMR 5876) was constructed in 1784 and, although it appears to have survived for some years, the original house was later demolished. The site of the house is now an area of car parking to the north-west of Heath House.","(51.479942, -2.5677821)"
2853M,Clay pit at the Malago Vale Brickworks,358232,171084,Clay pit,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Brick and tilemaking site,Clay pit, ,,,38625,Clay pit at the Malago Vale Brickworks. The pit was recorded by the Ordnance Survey first edition 1:500-scale Town plan (Bristol Sheet LXXV.08.03) surveyed in 1883. It had been partly infilled by the middle of the First World War.,"(51.437203, -2.6022831)"
2854M,"Candle Factory, Albert Road",358326,171290,Candle factory,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Factory,Candle factory, ,,,38625,Candle factory located on the western side of Albert Road [modern Sheene Road]. The factory was in existence by the time of the Ordnance Survey first edition 1:500-scale Town plan (Bristol Sheet LXXV.04.24) surveyed in 1883. It was still operating in the early twentieth century but was subsequently demolished.,"(51.439062, -2.6009551)"
2855M,"Malago Vale Brick and Tile Works, Albert Road",358435,171228,Brickworks,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Brick and tilemaking site,Brickworks, ,,,38625,"Malago Vale Brick and Tile Works, located on the eastern side of Albert Road [modern Sheene Road]. The works was in existence at the time of the Ordnance Survey first edition 1:500-scale Town plan (Bristol Sheet LXXV.04.24) surveyed in 1883 but the site had apparently been demolished by the beginning of the twentieth century.","(51.438513, -2.5993798)"
2856M,"Tarpaulin Factory, Albert Road",358340,171319,Canvas works,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Textile mill,Canvas works, ,,,38625,Tarpaulin Factory located on the western side of Albert Road [modern Sheene Road]. The factory was in existence at the time of the Ordnance Survey first edition 1:500-scale Town plan (Bristol Sheet LXXV.04.24) surveyed in 1883. The building was still extant in the early twentieth century but was subsequently demolished.,"(51.439324, -2.6007572)"
2607M,Quarry on the west side of Crew's Hole Road,362873,172955,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Crews Hole Road,,,38625,"Quarry located on the west side of Crew's Hole Road. The quarry was recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet LXXII.14) surveyed in 1880-81 and then measured approximately 30 metres from north to south. The entrance was off Crew's Hole Road.
The quarry site is extant and the dwelling called Little Haven now stands within it.","(51.45435, -2.5357158)"
2609M,Chemical works on the west side of Crews Hole Road,362748,172925,Chemical works,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Chemical production site,Chemical works,Crews Hole Road,,,38625,"Chemical works, located on the west side of Crew's Hole Road. The works was recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet LXXII.14) surveyed in 1880-81. This indicates that the buildings of the works were grouped together on the bank of the River Avon on the west side of the site but gives no detailed indication of their functions.
The site of the works now lies largely beneath the Butlers Walk development.","(51.454072, -2.5375115)"
2610M,Crown Works on the west side of Crews Hole Road,362760,172972,Brickworks,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Works,Brickworks,Crews Hole Road,,,38625,"Crown Works, a brick and tile works located on the west side of Crew's Hole Road. The works is recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet LXXII.14) surveyed in 1880-81. At that date two buildings stood on the Crew's Hole Road frontage but most of the structures of the works occupied the western half of the site. There is no indication that brickearth was dug on the site itself.
Most of the site of the brickworks now lies beneath the Butler's Close.","(51.454495, -2.5373438)"
2612M,Quarry on the north side of Cassey Bottom Lane,363192,173180,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Cassey Bottom Lane,,,38625,"A quarry located on the north side of Cassey Bottom Lane. The quarry was recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet LXXII.14) surveyed in 1880-81 as an ""Old Quarry"", indicating that it had gone out of use by that date. At that time the quarry measured approximately 75 metres from north-west to south-east and was 27 metres wide. The working face appears to have been at the south-western end and the entrance was off Troopers Hill Road.
The quarry has now been infilled and lies beneath Nos.1-9 Cassey Bottom Lane.","(51.456394, -2.5311485)"
2386M,"Pond to the north west of the South Wales Railway Tavern, Mina Road",359922,175209,Pond,PM2,Post-medieval 1700-1900,,,,, ,0,,Water Supply and Drainage,Pond,Pond,Watercress Road,,,38625,A small pond to the north west of the South Wales Railway Tavern which was recorded by the Ordnance Survey 1st edition map of 1881 (Sheet LXXII.9.12). The function and date of the pond is unknown.,"(51.474414, -2.5784401)"
2387M,"British School, British Road, Bedminster",358174,171329,School,PM2,Post-medieval 1700-1900,,,,, ,0,,Education,School,School,British Road,,,38625,"The British School, located on the southern side of British Road, Bedminster was built in 1846 by the local Methodist congregation and was enlarged in 1855 by the addition of a first floor designed by Henry Crisp. In 1867 an infant school was added, occupying the site to the west. A new Board School was built in South Street in 1895 making the British School redundant. The building was sold to E. S. & A. Robinson in 1898 and passed through a number of commercial uses. It was listed Grade II but stood empty for several years before it was gutted by fire in 1997. The shell of the building was demolished in July 1998 as a dangerous structure without any record of the building being made (Insole 1998).","(51.439402, -2.6031465)"
2389M,Site of a building on the north side of Penpole Wood,353300,177372,House,PM2,Post-medieval 1700-1900,,,,, ,0,,Domestic,Dwelling,House,Penpole Lane,,,38625,"Building on the north side of Penpole Wood. The building is recorded by the Ordnance Survey 1:2500 map of 1949 (Gloucestershire Sheet LXXI.06) when it was marked as ""ruin"". The site of the L-shaped building, which measured roughly 15 metres by 6 metres, was approximately 100 metres south-east of No.10 Nigel Park. Its current condition is unknown.","(51.493352, -2.6740648)"
2390M,Quarry at the east end of Penpole Wood,353192,177368,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Penpole Lane,,,38625,"A quarry at the western end of Penpole Wood and lies on the south side of Penpole Lane. The quarry, marked as ""Old Quarry"", was recorded by the Ordnance Survey 1:2500 map of 1949 (Gloucestershire Sheet LXXI.06) and is the eastern of a group of three. It measures roughly 50 metres in diameter.","(51.493307, -2.6756198)"
2391M,Quarry at the east end of Penpole Wood,353092,177380,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Penpole Lane,,,38625,A quarry at the western end of Penpole Wood. The quarry is at the centre of a group of three and lies on the south side of Penpole Lane. The Ordnance Survey 1:2500 map of 1949 (Gloucestershire Sheet LXXI.06) shows several buildings within the quarry but it is not known whether or not they are associated with its working.,"(51.493407, -2.6770617)"
2392M,Quarry at the east end of Penpole Wood,353024,177384,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Penpole Lane,,,38625,A quarry at the western end of Penpole Wood. The quarry is recorded by the Ordnance Survey 1:2500 map of 1881 (Glucestershire Sheet LXXI.06). It lies at the western end of a group of three and lies on the south side of Penpole Lane.,"(51.493437, -2.6780417)"
2831M,"Quarry at Doncaster Road, Southmead",358250,177973,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Doncaster Road,,,38625,"Quarry located some 30 metres to the south of modern Doncaster Road. The quarry is recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet Sheet LXXI.04) published in 1881 which described it as an ""Old Quarry"". The quarry measured 13 metres from north-west to south-east by 7 metres wide and was still extant in the early twentieth century. The quarry was subsequently infilled.","(51.499144, -2.6028402)"
2832M,"Quarry 130 metres south of Doncaster Road, Southmead",358247,177875,Quarry,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone extraction site,Quarry,Doncaster Road,,,38625,"Quarry located some 130 metres to the south of modern Doncaster Road. The quarry is recorded by the Ordnance Survey first edition 1:2500 plan (Gloucestershire Sheet Sheet LXXI.04) published in 1881 which described it as an ""Old Quarry"". The quarry measured 29 metres from north to south by 25 metres wide and was still extant in the early twentieth century. The quarry was subsequently infilled.","(51.498262, -2.6028718)"
5295M,Well by Ashley Hill,359757,175195,Well, ,,,,,, ,0,,Water Supply and Drainage,Water storage site,Well, ,,,,,"(51.474276, -2.5808141)"
2614M,Engine Shed and Workshops on the west side of the River Avon,359855,172055,Engine shed,PM2,Post-medieval 1700-1900,,,,, ,0,,Transport,Railway transport site,Engine shed, ,,,38625,"Engine Shed and Workshops, located on the west side of the River Avon, to the south of Temple Meads station. The engine shed was recorded by the Ordnance Survey first edition 1:500 plan (Bristol Sheet LXXVI.1.12) surveyed in 1883 which shows a complex of large buildings including an engine shed and workshops on its southern side. The shed is attached to a smaller engine shed (SMR 21081) on its north-west facing side.","(51.446051, -2.5790456)"
2615M,"Marsh Foundry, Victoria Road, St. Philip's Marsh",360125,172188,Iron works,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Metal works,Iron works,Feeder Road,,,38625,"Marsh Foundry, an iron foundry located on the eastern side of Victoria Road, St. Philip's Marsh. The foundry is recorded by the Ordnance Survey first edition 1:500 plan (Bristol Sheet LXXVI.1.7) surveyed in 1883 which shows the foundry as a complex of buildings arranged around a yard. The entrance to the site was off Victoria Road.","(51.447266, -2.5751758)"
2616M,"Stone Yard, Feeder Road",359990,172284,Stonemasons Yard,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Stone working site,Stonemasons Yard,Feeder Road,,,38625,"Stone Yard, located on the south side of Feeder Road, St. Philip's Marsh. The stone yard is recorded by the Ordnance Survey first edition 1:500 plan (Bristol Sheet LXXVI.1.7) surveyed in 1883 as a walled enclosure with small buildings on the north and western sides. The entrance to the site was off Victoria Road and a second gateway on the south side gave access to the Fever and Smallpox Hospitals (SMR 21086 & SMR 21087).","(51.44812, -2.5771291)"
2617M,"Avonside Refinery, Feeder Road",360030,172295,Refinery,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Industrial site,Refinery,Feeder Road,,,38625,"Avonside Refinery, located on the south side of Feeder Road, St. Philip's Marsh. The works is recorded by the Ordnance Survey first edition 1:500 plan (Bristol Sheet LXXVI.1.7) surveyed in 1883 as a long rectangular building orientated north-south. The entrance to the site was off Feeder Road. The 1883 plan indicates that the refinery was disused at that time.","(51.448222, -2.5765548)"
2619M,"Fever Hospital on the east side of the River Avon, St. Philip's Marsh",359993,172260,Specialist hospital,PM2,Post-medieval 1700-1900,,,,, ,0,,Health and welfare,Specialist hospital,Infectious diseases hospital,Albert Road,,,38625,"Fever Hospital, located on the east bank of the River Avon in St. Philip's Marsh. The hospital is recorded by the Ordnance Survey first edition 1:500 plan (Bristol Sheet LXXVI.1.7) surveyed in 1883 which shows it on the north side of a roughly triangular walled enclosure also containing a Smallpox Hospital. The hospital building was orientated east-west and measured 80 feet on its long axis by 40 feet wide. The entrance to the enclosure seems to have been via a gate leading into the stone yard (SMR 21084) immediately to the north.","(51.447904, -2.5770833)"
2620M,"Marsh Mill, Feeder Road",360053,172334,Oil mill,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Mill,Oil mill,Feeder Road,,,38625,"Marsh Mill, an oil mill located on the south side of Feeder Road, St. Philip's Marsh. The mill is recorded by the Ordnance Survey first edition 1:500 plan (Bristol Sheet LXXVI.1.7) surveyed in 1883 as a large building against Feeder Road with smaller buildings to the south and west forming an enclosed yard. The entrance to the site was off Feeder Road.","(51.448574, -2.5762283)"
2621M,"Vulcan Iron Works, Albert Road, St. Philip's Marsh",360054,172097,Iron works,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Metal works,Iron works,Albert Road,,,38625,"Vulcan Iron Works, located on the west side of Albert Road, St. Philip's Marsh. The foundry is recorded by the Ordnance Survey first edition 1:500 plan (Bristol Sheet LXXVI.1.12) surveyed in 1883.","(51.446443, -2.5761871)"
2146M,Suspension footbridge over the River Avon,360959,171915,Bridge,Mod,Modern 1900-,,,,, ,1,,Transport,Bridge,Footbridge, ,,,38625,"Suspension footbridge over the river Avon, carrying the footpath into Sparke Evans Park. The bridge was constructed by John Lysaght Ltd. of Bristol in 1933 and is a lattice pylon and girder suspension bridge. Iron railings protect the ends of the suspension cables at either end of the bridge.","(51.44487, -2.5631453)"
2147M,Terrace at Tyler Street,360050,172760,Terrace,PM2,Post-medieval 1700-1900,,,,, ,0,,Domestic,Multiple dwelling,Terrace,Tyler Street,,,38625,Terrace of late C19 housing in original condition. (1),"(51.452404, -2.5763197)"
2148M,Railway bridge across the river Avon,359960,171983,Railway bridge,PM2,Post-medieval 1700-1900,,,,, ,1,,Transport,Railway transport site,Railway bridge,Albert Road,,,38625,Railway bridge across the river Avon at Albert Road.,"(51.445411, -2.5775267)"
2957M,Pound at Bedminster Down Road,357665,170592,Pound,PM2,Post-medieval 1700-1900,,,,, ,0,,Agriculture and subsistence,Pound,Pound,Bedminster Down Road,,,38625,Pound located on the south-eastern side of Bedminster Down Road. The pound was recorded by the Ordnance Survey first edition 1:500 plan (Bristol Sheet LXXV.8.7) surveyed in 1882 and measured 11 metres from north to south and was 7.5 metres wide. It was enclosed by a masonry wall and the entrance was on the north-eastern side.,"(51.432738, -2.6103807)"
